0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:30 +0530] "GET /papi-ui/ HTTP/1.1" 200 5531
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:30 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:30 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:37 +0530] "GET /papi-ui/ HTTP/1.1" 200 5531
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:37 +0530] "GET /papi-ui/css/forms.css HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:37 +0530] "GET /papi-ui/css/login.css HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:37 +0530] "GET /papi-ui/css/side-menu.css HTTP/1.1" 200 4899
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:37 +0530] "GET /papi-ui/css/main.css HTTP/1.1" 200 4135
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:37 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:37 +0530] "GET /papi-ui/css/scheduler.css HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:37 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:37 +0530] "GET /papi-ui/js/utility.js HTTP/1.1" 200 12668
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:37 +0530] "GET /papi-ui/images/image1.jpg HTTP/1.1" 200 269302
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:38 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:38 +0530] "GET /papi-ui/view/home.html HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:38 +0530] "GET /papi-ui/css/home.css HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:55 +0530] "GET /papi-ui/ HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:55 +0530] "GET /papi-ui/login.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:55 +0530] "GET /papi-ui/images/btightyellow.jpg HTTP/1.1" 200 103689
0:0:0:0:0:0:0:1 - - [04/May/2018:17:30:56 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:32:22 +0530] "GET /papi-ui/ HTTP/1.1" 200 5566
0:0:0:0:0:0:0:1 - - [04/May/2018:17:32:22 +0530] "GET /papi-ui/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:32:22 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [04/May/2018:17:32:22 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:32:26 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:32:51 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:32:51 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:33:14 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:33:14 +0530] "GET /papi-ui/js/sideMenu.js HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [04/May/2018:17:33:14 +0530] "GET /papi-ui/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:33:15 +0530] "GET /papi-ui/view/common/side_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/May/2018:17:33:23 +0530] "GET /papi-ui/ HTTP/1.1" 304 -
